Genres,Year,Count
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",1995-10-13,45
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-08-16,1
"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",1995-08-01,0
"[{'id': 35, 'name': 'Comedy'}]",1996-03-01,110
"[{'id': 99, 'name': 'Documentary'}]",1995-09-08,2
"[{'id': 35, 'name': 'Comedy'}]",1995-09-15,2
"[{'id': 18, 'name': 'Drama'}]",1995-08-23,5
[],1995-08-01,0
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1996-03-01,51
"[{'id': 35, 'name': 'Comedy'}]",1996-03-08,303
"[{'id': 18, 'name': 'Drama'}]",1995-10-12,2
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-08-09,23
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995-04-07,1729
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-08-25,31
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-04-21,472
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1995-07-21,11
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1994-08-05,21
"[{'id': 18, 'name': 'Drama'}]",1995-06-30,1637
"[{'id': 12, 'name': 'Adventure'}]",1995-04-13,151
"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",1995-01-10,46
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",1995-06-16,1529
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1967-05-24,163
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-05-24,21
"[{'id': 35, 'name': 'Comedy'}]",1995-09-15,28
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",1995-06-08,57
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-05-26,1045
"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1995-09-15,69
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995-06-09,214
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1995-05-12,508
"[{'id': 99, 'name': 'Documentary'}]",1994-09-10,71
"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",1995-08-25,898
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1995-09-15,88
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995-05-19,2094
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1995-10-27,57
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-10-12,0
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-07-07,319
"[{'id': 12, 'name': 'Adventure'}]",1995-07-19,130
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1995-09-14,406
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-08-18,19
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995-05-26,380
"[{'id': 878, 'name': 'Science Fiction'}]",1995-06-30,643
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995-04-12,34
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-07-28,280
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1995-01-20,64
"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1995-08-25,87
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1993-05-20,7
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",1995-05-26,27
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1995-10-20,400
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1995-06-30,153
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-09-29,10
"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",1995-09-28,36
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1994-09-13,12
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",1995-07-28,359
"[{'id': 35, 'name': 'Comedy'}]",1995-07-12,171
"[{'id': 35, 'name': 'Comedy'}]",1995-06-09,14
"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1995-09-01,139
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995-11-17,1
"[{'id': 18, 'name': 'Drama'}]",1995-06-23,62
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1995-10-13,111
"[{'id': 99, 'name': 'Documentary'}]",1995-08-25,2
"[{'id': 18, 'name': 'Drama'}]",1995-09-22,261
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995-06-09,115
"[{'id': 35, 'name': 'Comedy'}]",1995-08-04,60
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",1995-07-07,457
"[{'id': 18, 'name': 'Drama'}]",1995-09-15,6
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995-10-13,334
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1964-02-19,119
"[{'id': 53, 'name': 'Thriller'}]",1995-09-08,9
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",1995-10-27,18
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-02,112
"[{'id': 35, 'name': 'Comedy'}]",1995-09-07,117
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995-07-13,217
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-09-15,9
"[{'id': 99, 'name': 'Documentary'}]",1995-08-11,6
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-08-11,168
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",1995-07-28,1017
"[{'id': 18, 'name': 'Drama'}]",1995-12-01,25
"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",1995-12-01,27
"[{'id': 18, 'name': 'Drama'}]",1994-10-12,11
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}]",1995-08-04,29
"[{'id': 18, 'name': 'Drama'}]",1994-05-01,35
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1994-06-09,45
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-01-27,984
"[{'id': 35, 'name': 'Comedy'}]",1995-02-10,464
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-10-17,27
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1995-02-03,48
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-04-21,58
"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",1995-08-04,40
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",1995-03-16,30
"[{'id': 35, 'name': 'Comedy'}]",1994-09-13,769
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1994-10-01,184
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",1994-12-09,217
"[{'id': 53, 'name': 'Thriller'}]",1995-01-01,1
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1994-12-08,91
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",1995-04-28,9
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",1994-05-04,92
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",1995-03-24,183
"[{'id': 35, 'name': 'Comedy'}]",1994-12-16,1894
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1994-08-03,76
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",1994-09-24,64
"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",1994-10-14,28
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1994-09-27,639
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995-05-05,179
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-05-19,38
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-01-13,27
"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",1995-04-07,404
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-03-03,24
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1995-06-02,48
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",1994-12-07,20
